영화명,감독,제작사,스크린수,관객수,평점,리뷰,매출액
더 폰,7,5,794,1593694,6.79,10.99,1
용의자,5,10,807,4131248,8.37,22.24,1
간첩,0,0,576,1310895,7.17,11.81,0
런닝맨,0,5,567,1422844,7.77,22.57,1
조선미녀삼총사,0,0,388,480361,4.03,3.05,0
감시자들,7,10,949,5508017,7.76,16.75,1
도둑들,5,0,1072,12983330,7.63,19.09,1
미션: 톱스타를 훔쳐라,0,0,2,512,8.46,0,0
최종병기 활,5,7,615,7470633,7.87,21.32,1
헤드,0,0,196,61414,4.83,0.95,0
히트,0,0,171,110631,3.57,-2.35,0
대한민국 1%,0,0,287,447569,6.28,14.97,0
육혈포 강도단,0,0,319,1233582,7.57,15,0
슬픈남자,0,0,1,109,5.9,0,0
혈투,5,7,169,43947,5.24,0,0
치외법권,0,0,446,346483,5.94,14.01,0
제 7기사단,0,0,95,10710,6.83,0,0
조선명탐정 : 각시투구꽃의 비밀,0,0,611,4786259,8.12,23.15,1
구르믈 버서난 달처럼,7,5,509,1407681,6.84,2.22,1
특수본,7,0,471,1118258,6.98,9.16,0
황제를 위하여,0,7,423,592367,6.05,13.93,0
응징자,0,0,305,192347,6.11,20,0
신의 한 수,5,0,794,3566336,8.02,18.91,1
기술자들,5,5,641,2564340,7.09,9.62,1
우는 남자,5,0,508,603409,6,3.1,0
회사원,0,10,549,1110523,6.52,4.46,0
마이너클럽,0,0,1,130,3,0,0
빅매치,5,0,627,1177438,6.64,19.35,0
핏불테리아,0,0,1,77,4.3,0,0
푸른소금,0,0,476,771699,7.07,8.28,0
더 킥,0,0,153,51024,6.96,0,0
무명인,0,10,51,3199,8.4,0,0
친구 2,7,0,968,2971475,6.21,4.78,1
7광구,5,10,812,2242510,3.34,-10.38,1
점박이:한반도의 공룡3D,0,0,457,1040636,7.63,0,0
서유기 리턴즈,0,0,59,12696,5.89,0,0
좋은 친구들 ,0,0,15,1258,2.35,0,0
